held-out arms: [np.str_('s101-random'), np.str_('s101-grad'), np.str_('s404-grad'), np.str_('s606-random'), np.str_('s202-grad')] | lang counts: [149, 105, 80, 47, 45, 102]
L18/R2  dirs {'assistant': 25, 'broken': 25, 'language': 40, 'trigger': 114} | asst AUROC raw 0.744 demean 0.674 nullsp 0.651 both 0.620 | cos(both,raw) +0.62 | asst1 in trig-span 0.31
L18/R4  dirs {'assistant': 25, 'broken': 25, 'language': 40, 'trigger': 152} | asst AUROC raw 0.798 demean 0.739 nullsp 0.690 both 0.672 | cos(both,raw) +0.56 | asst1 in trig-span 0.37
L20/R1  dirs {'assistant': 11, 'broken': 10, 'language': 40, 'trigger': 95} | asst AUROC raw 0.797 demean 0.751 nullsp 0.699 both 0.690 | cos(both,raw) +0.41 | asst1 in trig-span 0.34
L20/R2  dirs {'assistant': 22, 'broken': 21, 'language': 40, 'trigger': 133} | asst AUROC raw 0.760 demean 0.688 nullsp 0.654 both 0.603 | cos(both,raw) +0.58 | asst1 in trig-span 0.34
L20/R4  dirs {'assistant': 21, 'broken': 25, 'language': 40, 'trigger': 95} | asst AUROC raw 0.798 demean 0.741 nullsp 0.664 both 0.645 | cos(both,raw) +0.60 | asst1 in trig-span 0.26
L22/R1  dirs {'assistant': 16, 'broken': 13, 'language': 40, 'trigger': 152} | asst AUROC raw 0.801 demean 0.746 nullsp 0.691 both 0.662 | cos(both,raw) +0.33 | asst1 in trig-span 0.46
L22/R2  dirs {'assistant': 25, 'broken': 25, 'language': 40, 'trigger': 114} | asst AUROC raw 0.767 demean 0.702 nullsp 0.695 both 0.672 | cos(both,raw) +0.59 | asst1 in trig-span 0.31
L22/R4  dirs {'assistant': 20, 'broken': 25, 'language': 40, 'trigger': 95} | asst AUROC raw 0.816 demean 0.758 nullsp 0.720 both 0.682 | cos(both,raw) +0.59 | asst1 in trig-span 0.24
L24/R1  dirs {'assistant': 16, 'broken': 5, 'language': 40, 'trigger': 152} | asst AUROC raw 0.804 demean 0.741 nullsp 0.664 both 0.662 | cos(both,raw) +0.49 | asst1 in trig-span 0.40
L24/R2  dirs {'assistant': 24, 'broken': 25, 'language': 40, 'trigger': 95} | asst AUROC raw 0.790 demean 0.718 nullsp 0.695 both 0.667 | cos(both,raw) +0.61 | asst1 in trig-span 0.28
L24/R4  dirs {'assistant': 21, 'broken': 25, 'language': 40, 'trigger': 95} | asst AUROC raw 0.816 demean 0.746 nullsp 0.684 both 0.654 | cos(both,raw) +0.58 | asst1 in trig-span 0.26
